Date, Life Expectancy, % change
2000-12-31,69.882,0.27,
2001-12-31,70.068,0.27,
2002-12-31,70.254,0.27,
2003-12-31,70.44,0.26,
2004-12-31,70.502,0.09,
2005-12-31,70.564,0.09,
2006-12-31,70.626,0.09,
2007-12-31,70.688,0.09,
2008-12-31,70.75,0.09,
2009-12-31,71.062,0.44,
2010-12-31,71.374,0.44,
2011-12-31,71.686,0.44,
2012-12-31,71.998,0.44,
2013-12-31,72.31,0.43,
2014-12-31,72.552,0.33,
2015-12-31,72.794,0.33,
2016-12-31,73.036,0.33,
2017-12-31,73.278,0.33,
2018-12-31,73.52,0.33,
2019-12-31,73.664,0.2,
2020-12-31,73.808,0.2,
2021-12-31,73.952,0.2,
2022-12-31,74.096,0.19,
2023-12-31,74.24,0.19,
2024-12-31,74.384,0.19,