DIM_TIME;DIM_GEO_CODE_TYPE;GEO_NAME_SHORT;RATE_PER_10000_N
1990;COUNTRY;Azerbaijan;37.01400000000000
1991;COUNTRY;Azerbaijan;37.31700000000000
1992;COUNTRY;Azerbaijan;36.86500000000000
1993;COUNTRY;Azerbaijan;37.24400000000000
1994;COUNTRY;Azerbaijan;36.84400000000000
1995;COUNTRY;Azerbaijan;37.03400000000000
1996;COUNTRY;Azerbaijan;36.73400000000000
1996;COUNTRY;Georgia;31.19300000000000
1997;COUNTRY;Azerbaijan;36.09100000000000
1997;COUNTRY;Georgia;37.06500000000000
1998;COUNTRY;Azerbaijan;35.41400000000000
1998;COUNTRY;Georgia;38.51600000000000
1999;COUNTRY;Azerbaijan;35.16100000000000
1999;COUNTRY;Georgia;39.26700000000000
2000;COUNTRY;Armenia;26.16400000000000
2000;COUNTRY;Azerbaijan;35.44800000000000
2000;COUNTRY;Georgia;39.24300000000000
2001;COUNTRY;Armenia;25.49900000000000
2001;COUNTRY;Azerbaijan;35.11700000000000
2001;COUNTRY;Georgia;38.52300000000000
2002;COUNTRY;Armenia;25.04700000000000
2002;COUNTRY;Azerbaijan;35.21300000000000
2002;COUNTRY;Georgia;39.92000000000000
2003;COUNTRY;Armenia;24.03600000000000
2003;COUNTRY;Azerbaijan;35.08100000000000
2003;COUNTRY;Georgia;40.37300000000000
2004;COUNTRY;Armenia;24.08300000000000
2004;COUNTRY;Azerbaijan;35.12200000000000
2004;COUNTRY;Georgia;40.26700000000000
2005;COUNTRY;Armenia;25.08900000000000
2005;COUNTRY;Azerbaijan;35.33200000000000
2005;COUNTRY;Georgia;40.56300000000000
2006;COUNTRY;Armenia;25.31300000000000
2006;COUNTRY;Azerbaijan;35.10700000000000
2006;COUNTRY;Georgia;41.19800000000000
2007;COUNTRY;Armenia;26.08500000000000
2007;COUNTRY;Azerbaijan;36.48000000000000
2007;COUNTRY;Georgia;41.62800000000000
2008;COUNTRY;Armenia;26.73500000000000
2008;COUNTRY;Azerbaijan;36.11600000000000
2008;COUNTRY;Georgia;42.71200000000000
2009;COUNTRY;Armenia;26.96800000000000
2009;COUNTRY;Azerbaijan;35.96400000000000
2009;COUNTRY;Georgia;45.11300000000000
2010;COUNTRY;Armenia;27.75300000000000
2010;COUNTRY;Azerbaijan;35.81700000000000
2010;COUNTRY;Georgia;47.50600000000000
2011;COUNTRY;Armenia;28.16300000000000
2011;COUNTRY;Azerbaijan;33.59400000000000
2011;COUNTRY;Georgia;48.05700000000000
2012;COUNTRY;Armenia;28.66800000000000
2012;COUNTRY;Azerbaijan;34.08900000000000
2012;COUNTRY;Georgia;47.93100000000000
2013;COUNTRY;Armenia;28.99300000000000
2013;COUNTRY;Azerbaijan;33.73400000000000
2013;COUNTRY;Georgia;48.27800000000000
2014;COUNTRY;Armenia;29.15300000000000
2014;COUNTRY;Azerbaijan;33.62400000000000
2014;COUNTRY;Georgia;51.05700000000000
2015;COUNTRY;Armenia;29.61900000000000
2015;COUNTRY;Azerbaijan;32.90700000000000
2015;COUNTRY;Georgia;53.41400000000000
2016;COUNTRY;Armenia;29.39800000000000
2016;COUNTRY;Azerbaijan;32.26600000000000
2016;COUNTRY;Georgia;63.85900000000000
2017;COUNTRY;Armenia;29.72400000000000
2017;COUNTRY;Azerbaijan;31.64200000000000
2017;COUNTRY;Georgia;65.14500000000000
2018;COUNTRY;Armenia;29.68000000000000
2018;COUNTRY;Azerbaijan;31.99700000000000
2018;COUNTRY;Georgia;75.55300000000000
2019;COUNTRY;Armenia;31.17400000000000
2019;COUNTRY;Azerbaijan;31.10500000000000
2019;COUNTRY;Georgia;75.02700000000000
2020;COUNTRY;Armenia;33.17400000000000
2020;COUNTRY;Azerbaijan;30.93300000000000
2020;COUNTRY;Georgia;51.61100000000000
2021;COUNTRY;Georgia;53.30200000000000
2022;COUNTRY;Georgia;56.12900000000000